series_id,transform_type
sub-S07434_ses-E13171_acq-1_run-5_bp-chest_ct.jpg,type_1
sub-S07706_ses-E13631_run-5_bp-chest_ct.jpg,type_1
sub-S07775_ses-E13753_acq-1_run-4_bp-chest_ct.jpg,type_1
sub-S07775_ses-E13753_acq-1_run-8_bp-chest_ct.jpg,type_1
sub-S04681_ses-E09479_run-1_bp-chest_ct.jpg,type_3
sub-S04681_ses-E09479_run-3_bp-chest_ct.jpg,type_3
sub-S04681_ses-E09479_run-4_bp-chest_ct.jpg,type_3
sub-S05575_ses-E10285_run-4_bp-chest_ct.jpg,type_3
sub-S06870_ses-E13418_run-3_bp-chest_ct.jpg,type_3
sub-S07078_ses-E12545_run-4_bp-chest_ct.jpg,type_3
sub-S29603_ses-E61017_run-3_bp-chest_ct.jpg,type_3
sub-S24137_ses-E58933_acq-2_run-1_bp-chest_ct.jpg,type_5
sub-S24915_ses-E59071_acq-2_run-1_bp-chest_ct.jpg,type_5
sub-S04523_ses-E53140_acq-1_run-5_bp-chest_ct.jpg,type_1
sub-S04523_ses-E53140_acq-2_run-1_bp-chest_ct.jpg,type_1
sub-S04523_ses-E53140_acq-2_run-5_bp-chest_ct.jpg,type_1
sub-S04524_ses-E08989_acq-1_run-2_bp-chest_ct.jpg,type_1
sub-S04524_ses-E08989_acq-1_run-7_bp-chest_ct.jpg,type_1
sub-S04524_ses-E08989_acq-2_run-2_bp-chest_ct.jpg,type_1
sub-S04524_ses-E08989_acq-2_run-7_bp-chest_ct.jpg,type_1
sub-S04526_ses-E08991_acq-1_run-1_bp-chest_ct.jpg,type_1
sub-S04526_ses-E08991_acq-1_run-3_bp-chest_ct.jpg,type_1
sub-S04526_ses-E08991_acq-2_run-1_bp-chest_ct.jpg,type_1
sub-S04526_ses-E08991_acq-2_run-3_bp-chest_ct.jpg,type_1
sub-S04529_ses-E08994_acq-2_run-3_bp-chest_ct.jpg,type_1
sub-S04534_ses-E09786_acq-1_run-1_bp-chest_ct.jpg,type_1
sub-S04534_ses-E09786_acq-1_run-5_bp-chest_ct.jpg,type_1
sub-S04534_ses-E09786_acq-2_run-1_bp-chest_ct.jpg,type_1
sub-S04534_ses-E09786_acq-2_run-5_bp-chest_ct.jpg,type_1
sub-S04536_ses-E09001_acq-1_run-1_bp-chest_ct.jpg,type_1
sub-S04536_ses-E09001_acq-1_run-3_bp-chest_ct.jpg,type_1
sub-S04536_ses-E09001_acq-2_run-1_bp-chest_ct.jpg,type_1
sub-S04536_ses-E09001_acq-2_run-3_bp-chest_ct.jpg,type_1
sub-S04537_ses-E09002_run-1_bp-chest_ct.jpg,type_1
sub-S04539_ses-E09004_acq-1_run-2_bp-chest_ct.jpg,type_1
sub-S04539_ses-E09004_acq-2_run-2_bp-chest_ct.jpg,type_1
sub-S04539_ses-E09004_run-7_bp-chest_ct.jpg,type_1
sub-S04542_ses-E09007_acq-1_run-1_bp-chest_ct.jpg,type_1
sub-S04542_ses-E09007_acq-2_run-1_bp-chest_ct.jpg,type_1
sub-S04543_ses-E09008_acq-1_run-1_bp-chest_ct.jpg,type_1
sub-S04543_ses-E09008_acq-2_run-1_bp-chest_ct.jpg,type_1
sub-S04543_ses-E09008_acq-2_run-5_bp-chest_ct.jpg,type_1
sub-S04545_ses-E09097_acq-2_run-7_bp-chest_ct.jpg,type_1
sub-S04546_ses-E10948_run-1_bp-chest_ct.jpg,type_1
sub-S04546_ses-E10948_run-7_bp-chest_ct.jpg,type_1
sub-S04549_ses-E09015_acq-1_run-1_bp-chest_ct.jpg,type_1
sub-S04549_ses-E09015_acq-2_run-1_bp-chest_ct.jpg,type_1
sub-S04551_ses-E54722_acq-2_run-3_bp-chest_ct.jpg,type_1
sub-S04552_ses-E09018_acq-1_run-2_bp-chest_ct.jpg,type_1
sub-S04552_ses-E09018_acq-2_run-2_bp-chest_ct.jpg,type_1
sub-S04552_ses-E09018_run-7_bp-chest_ct.jpg,type_1
sub-S04556_ses-E09022_acq-2_run-3_bp-chest_ct.jpg,type_1
sub-S04557_ses-E09023_run-1_bp-chest_ct.jpg,type_1
sub-S04560_ses-E13186_acq-1_run-1_bp-chest_ct.jpg,type_1
sub-S04560_ses-E13186_acq-1_run-3_bp-chest_ct.jpg,type_1
sub-S04560_ses-E13186_acq-2_run-1_bp-chest_ct.jpg,type_1
sub-S04560_ses-E13186_acq-2_run-3_bp-chest_ct.jpg,type_1
sub-S04562_ses-E09028_run-3_bp-chest_ct.jpg,type_1
sub-S04563_ses-E09442_acq-1_run-2_bp-chest_ct.jpg,type_1
sub-S04563_ses-E09442_acq-2_run-2_bp-chest_ct.jpg,type_1
sub-S04563_ses-E09442_run-8_bp-chest_ct.jpg,type_1
sub-S04563_ses-E09673_run-2_bp-chest_ct.jpg,type_1
sub-S04563_ses-E09673_run-7_bp-chest_ct.jpg,type_1
sub-S04564_ses-E09030_acq-1_run-2_bp-chest_ct.jpg,type_1
sub-S04564_ses-E09030_acq-1_run-7_bp-chest_ct.jpg,type_1
sub-S04564_ses-E09030_acq-2_run-2_bp-chest_ct.jpg,type_1
sub-S04564_ses-E09030_acq-2_run-7_bp-chest_ct.jpg,type_1
sub-S04565_ses-E09031_run-2_bp-chest_ct.jpg,type_1
sub-S04565_ses-E09031_run-7_bp-chest_ct.jpg,type_1
sub-S04565_ses-E09397_acq-1_run-2_bp-chest_ct.jpg,type_1
sub-S04565_ses-E09397_acq-1_run-7_bp-chest_ct.jpg,type_1
sub-S04565_ses-E09397_acq-2_run-2_bp-chest_ct.jpg,type_1
sub-S04565_ses-E09397_acq-2_run-7_bp-chest_ct.jpg,type_1
sub-S04568_ses-E09034_acq-2_run-3_bp-chest_ct.jpg,type_1
sub-S04569_ses-E09037_run-2_bp-chest_ct.jpg,type_1
sub-S04569_ses-E09037_run-7_bp-chest_ct.jpg,type_1
sub-S04570_ses-E09038_run-2_bp-chest_ct.jpg,type_1
sub-S04570_ses-E09038_run-7_bp-chest_ct.jpg,type_1
sub-S04573_ses-E14173_run-2_bp-chest_ct.jpg,type_1
sub-S04573_ses-E14173_run-7_bp-chest_ct.jpg,type_1
